Time,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,Amount,Class
82450,1.31453919,0.590642763,-0.666593421,0.71656434,0.30197787,-1.125467465,0.388880528,-0.288389638,-0.132137451,-0.597738928,-0.32534664,-0.216435376,0.08420408,-1.054630562,0.967932033,0.601226266,0.631116638,0.295077968,-0.136150702,-0.058040405,-0.170307279,-0.429655035,-0.141340683,-0.200194626,0.639491494,0.399475692,-0.034321009,0.031692413,0.76,0
50554,-0.798671774,1.185092908,0.904547185,0.694583749,0.219040575,-0.319295358,0.495236344,0.1392686,-0.760213609,0.170546812,0.821998442,0.468321767,-0.057550286,0.573006315,0.358687758,-0.011632706,-0.504569916,0.722749576,0.861540919,-0.081298289,0.202287281,0.578699296,-0.092245021,0.013722852,-0.246466056,-0.380057167,-0.396030194,-0.112900666,4.18,0
55125,-0.391128407,-0.245539891,1.122074297,-1.308725198,-0.63989114,0.008678049,-0.701303619,-0.027315218,-2.628853982,2.051311931,0.57586644,-0.594036626,1.09788035,-0.338340144,0.617523289,-0.756389943,0.53514072,1.016703754,2.133828306,0.065715845,-0.133485329,0.117403427,-0.191747896,-0.488642102,-0.309773632,0.008100441,0.16371613,0.239582023,15,0
116572,-0.060301854,1.065093223,-0.987420659,-0.029566926,0.176375675,-1.348538738,0.775644269,0.134843223,-0.149734361,-1.23859783,-0.841133376,-0.586472389,-0.77961956,-0.436671255,0.74787087,0.266437283,0.70323412,0.916719418,-0.189966701,-0.169705934,0.355575901,0.907569765,-0.018454445,-0.126269473,-0.339922557,-0.150285487,-0.023633977,0.042329732,57,0
90434,1.848432559,0.373363986,0.269271959,3.866437942,0.088061953,0.970447128,-0.721945224,0.235983235,0.68349097,1.166334905,1.297531263,-1.920965572,1.885046882,1.323225349,-2.044481898,1.317655046,-0.441075928,0.804104385,-1.658338557,-0.282777066,0.103562657,0.620953629,0.197076839,0.692392364,-0.206530111,-0.021327853,-0.019822803,-0.042681832,0,0
39411,1.321978696,-0.575195466,0.395503411,-0.551812648,-1.172344886,-1.03615164,-0.417695817,-0.228769753,-0.819610106,0.664582859,-0.508754126,-0.234832219,0.160393724,0.12638281,0.994191659,-1.163023023,-0.064971422,0.886025667,-0.768040506,-0.41038949,-0.468704867,-0.977936022,0.113434525,0.396269279,0.077503684,0.901030069,-0.063011119,0.017133129,43.89,0
100409,-0.342387451,-0.196129325,1.201253944,-1.327419378,-0.741833386,-0.570305858,-0.574234818,-0.228333123,0.958406531,0.249668796,0.178576865,-3.338907859,2.052729923,0.782320403,0.078996146,1.394803626,0.590052546,-0.560052274,0.258708199,-0.165678264,0.286211748,1.048439217,0.12862283,-0.054182445,-1.689067103,-0.481259378,-0.063310248,0.324557559,49.83,0
31054,1.459008118,-1.144242868,0.673747838,-1.305257226,-1.850588686,-0.944948503,-1.130356596,-0.11386369,-1.557237677,1.439961822,-0.633875436,-1.4903316,-0.687534325,-0.132358786,0.890525045,-0.129225145,0.496687014,0.069235814,-0.238819402,-0.357990903,-0.369531448,-0.821023285,0.174704287,0.294864684,0.081689953,-0.408069013,0.031006766,0.030960369,35,0
111675,-1.210475586,-1.186077383,1.115949404,-0.202103251,0.234418371,-1.014536762,0.33838465,0.080020568,0.533067913,-0.973965853,-1.116694628,-0.4052574,-0.846176821,0.166103373,0.747668886,0.459407023,-0.718979812,0.280403573,-0.406154217,0.537181812,0.089917462,-0.479130121,0.692103849,-0.132879982,-0.075115067,-0.610494666,-0.090292023,0.029432421,219,0
18895,1.24533659,-0.273575908,0.683713454,-0.766522858,-0.472246047,0.190399197,-0.682181603,0.020846197,3.017578572,-1.525662152,0.140249923,-1.459140236,2.661747447,1.080697544,0.745962928,-0.562578635,0.508369384,0.172654155,0.300443135,-0.09220824,-0.172926799,0.05988656,-0.119483106,-0.790592369,0.543437384,-0.647129812,0.086450472,0.020731826,11.85,0
